aProvincia,bCiudad,cDireccion,dCP,ePrecio,fTipologia,gSuperficie,hDormitorios,iSubtipo,jAnho_Const,lCategoria
Salamanca,Salamanca,Calle Isaac Peral; 52,37004,49.900,Local comercial,60,Local comercial,1961,Media,
Salamanca,Salamanca,Calle Primero de Mayo; 34,37004,169.900,Piso,97,4,4 dormitorios,1973,Señorial
Salamanca,Salamanca,Lamberto Echevarría; -1,37007,205.000,Piso,107,3,3 dormitorios,2009,Señorial
Salamanca,Salamanca,Paseo De la Estación; 75,37004,66.000,Piso,60,2,2 dormitorios,1951,Media
Salamanca,Salamanca,Calle Ayala; 9,37004,90.000,Piso,115,4,3 dormitorios,1970,50 €
Salamanca,Salamanca,Calle Pedro Mendoza; 16,37004,98.000,Piso,70,3,3 dormitorios,1972,Media
Salamanca,Salamanca,Av. De Los Cipreses; 84,37004,78.000,Piso,72,2,2 dormitorios,1958,300 €
Salamanca,Salamanca,Paseo De la Estación; 95,37004,129.000,Piso,112,4,4 dormitorios,1971,Media
Salamanca,Salamanca,Calle Miguel de Unamuno; 43,37004,98.000,Piso,79,3,3 dormitorios,1959,Media
Salamanca,Salamanca,Calle Vasco de Gama; 12,37004,132.000,Piso,93,3,3 dormitorios,1975,Popular
Salamanca,Salamanca,Av. Campoamor; 1,37003,79.900,Local comercial,70,Local comercial,1972,Media,
Salamanca,Salamanca,Calle Magallanes; 6,37004,59.990,Box/plaza de garaje,94,Plaza de garaje,1981,Media,
Salamanca,Salamanca,Calle Azafranal; 18,37004,340.000,Piso,197,5,5 dormitorios,1966,Señorial
Salamanca,Salamanca,Calle Fresno; 5,37004,105.000,Piso,90,3,3 dormitorios,1961,Señorial
Salamanca,Salamanca,Calle Vitigudino; -1,37007,214.000,Piso,118,4,4 dormitorios,1977,Popular
