,UBICACION,PROVINCIA,CIUDAD,PRECIO,PRECIO1,CP,SUPERFICIE,DORMITORIOS,SUBTIPOLOGIA,AÑO CONST,CATEGORIA
0,Vélez-málaga,Málaga,Vélez-málaga,99.000,99.000,29700,90,2,2 dormitorios,1975,Cuota comunidad anual  362 €
1,Vélez-málaga,Málaga,Vélez-málaga,117.000,117.000,29700,79,2,2 dormitorios,2008,Popular
2,Vélez-málaga,Málaga,Vélez-málaga,59.900,59.900,29700,51,2,2 dormitorios,1966,Popular
3,Vélez-málaga,Málaga,Vélez-málaga,72.260,72.260,29700,72,2,2 dormitorios,1960,Popular
4,Marbella,Málaga,Marbella,144.900,144.900,29069,76,3,3 dormitorios,1980,Popular
5,Torre Del Mar,Málaga,Torre Del Mar,220.000,,29740,155,4,4 dormitorios,1980,Popular
6,Torremolinos,Málaga,Torremolinos,29620,,Dirección  Av. De Sorolla; 35,Tipología  Piso,80,Dormitorios  3,3,1970
7,San Pedro De Alcantara,Málaga,San Pedro De Alcantara,109.990,,29679,76,3,3 dormitorios,1975,Popular
8,Málaga - Centro ; Centro Histórico,Málaga,Málaga,342.000,,29007,121,3,3 dormitorios,1980,Señorial
9,Marbella,Málaga,Marbella,139.990,,29601,75,3,3 dormitorios,1975,Popular
10,Marbella,Málaga,Marbella,124.990,,29069,72,2,2 dormitorios,1984,Popular
11,Marbella,Málaga,Marbella,155.000,,29601,90,3,3 dormitorios,1980,Media
12,Vélez-málaga,Málaga,Vélez-málaga,72.260,,29700,106,3,3 dormitorios,1971,Popular
13,Marbella,Málaga,Marbella,139.999,,29660,93,3,3 dormitorios,2003,Popular
14,Torremolinos,Málaga,Torremolinos,29620,,Dirección  Av. De los Manantiales; 24,Tipología  Piso,44,Estudio,1963,Popular
15,Marbella,Málaga,Marbella,210.000,,29601,70,2,2 dormitorios,1981,Media
16,Marbella,Málaga,Marbella,170.000,,29069,71,2,2 dormitorios,1974,Popular
17,Málaga - Centro ; El Molinillo - Capuchinos,Málaga,Málaga,85.000,,29013,53,1,1 dormitorio,1972,Popular
18,Marbella,Málaga,Marbella,139.990,,29601,75,3,3 dormitorios,2000,Popular
19,Marbella,Málaga,Marbella,179.990,,29604,100,3,3 dormitorios,1980,Popular
20,Torremolinos,Málaga,Torremolinos,29620,,Dirección  Calle Molino del Pato; 9,Tipología  Piso,140,Dormitorios  4,4,1964
21,Torremolinos,Málaga,Torremolinos,29620,,Dirección  Calle Marques de Salamanca; -1,Tipología  Piso,74,Dormitorios  2,2,1963
22,Vélez-málaga,Málaga,Vélez-málaga,72.000,,29700,75,2,2 dormitorios,1972,Popular
23,Alcaucín,Málaga,Alcaucín,67.260,,29711,55,1,1 dormitorio,2005,Popular
24,Málaga - Martiricos -la Roca,Málaga,Málaga,29011,,Dirección  Calle Eume; -1,Tipología  Piso,89,Dormitorios  3,3,1975
25,Fuengirola - Centro,Málaga,Fuengirola,149.000,,29640,94,3,3 dormitorios,1983,Media
26,Torre Del Mar,Málaga,Torre Del Mar,130.000,,29740,98,3,3 dormitorios,1968,Popular
27,Málaga - Centro ; La Victoria - Olletas,Málaga,Málaga,96.000,,29013,57,2,2 dormitorios,1966,Popular
28,Málaga - Carretera De Cádiz ; La Paz - P. Mediterraneo - Puerta Blanca,Málaga,Málaga,212.000,,29004,65,2,3 dormitorios,1971,Cuota comunidad anual  70 €
29,Málaga - Trinidad - Miraflores - Carlinda; Eugenio Gross,Málaga,Málaga,149.900,,29009,93,3,3 dormitorios,1980,Media
30,Málaga - Carretera De Cádiz ; Girón - Las Delicias,Málaga,Málaga,159.000,,29003,70,1,2 dormitorios,1967,Popular
31,Málaga - Carretera De Cádiz ; Girón - Las Delicias,Málaga,Málaga,120.000,,29003,69,3,3 dormitorios,1971,Popular
32,Málaga - Trinidad - Miraflores - Carlinda; Eugenio Gross,Málaga,Málaga,29010,,Dirección  C. Brújula; 6,Tipología  Piso,90,Dormitorios  2,2,2000
33,Torrox,Málaga,Torrox,145.000,,29770,86,3,3 dormitorios,2006,Popular
34,Fuengirola - Centro,Málaga,Fuengirola,119.000,,29640,84,2,2 dormitorios,1965,Cuota comunidad anual  0 €
35,Torremolinos,Málaga,Torremolinos,29620,,Dirección  Calle Rafael Quintana Rosado; 5,Tipología  Piso,90,Dormitorios  1,1,1970
36,Málaga - Trinidad - Miraflores - Carlinda; Eugenio Gross,Málaga,Málaga,109.900,,29009,60,3,3 dormitorios,1962,Popular
37,Málaga - Trinidad - Miraflores - Carlinda; Trinidad,Málaga,Málaga,129.900,,29009,61,2,2 dormitorios,2007,Popular
38,Málaga - Cruz De Humilladero ; Cruz Humilladero - Los Tilos,Málaga,Málaga,145.000,,29006,82,3,3 dormitorios,1972,Popular
39,Málaga - Cruz De Humilladero ; Cruz Humilladero - Los Tilos,Málaga,Málaga,29006,,Dirección  Calle Alfambra; 6,Tipología  Piso,73,Dormitorios  3,3,1970
40,Málaga - El Palo,Málaga,Málaga,210.000,,29018,180,4,4 dormitorios,1983,Media
41,Arroyo De La Miel,Málaga,Arroyo De La Miel,159.900,,29631,96,2,2 dormitorios,2001,Popular
42,Málaga - Cruz De Humilladero ; Cruz Humilladero - Los Tilos,Málaga,Málaga,75.000,,29006,51,2,2 dormitorios,1963,Popular
43,Málaga - Trinidad - Miraflores - Carlinda; Eugenio Gross,Málaga,Málaga,229.000,,29010,110,4,4 dormitorios,1977,Media
44,Marbella,Málaga,Marbella,119.500,,29601,83,3,3 dormitorios,2000,Media
45,Fuengirola - Centro,Málaga,Fuengirola,129.000,,29640,79,3,3 dormitorios,1963,Popular
46,Mijas - Las Lagunas De Mijas,Málaga,Mijas,99.000,,29651,57,2,2 dormitorios,2009,Media
47,Mijas - Las Lagunas De Mijas,Málaga,Mijas,155.000,,29651,125,3,3 dormitorios,1997,Vivienda protegida  SI
48,Málaga - Centro ; La Victoria - Olletas,Málaga,Málaga,148.000,,29014,92,3,3 dormitorios,1976,Popular
49,Mijas - Las Lagunas De Mijas,Málaga,Mijas,119.000,,29651,77,4,4 dormitorios,1979,Popular
50,Málaga - Carretera De Cádiz ; Girón - Las Delicias,Málaga,Málaga,120.000,,29003,67,3,3 dormitorios,1971,Popular
51,Málaga - Centro ; El Molinillo - Capuchinos,Málaga,Málaga,205.000,,29014,197,4,4 dormitorios,1978,Señorial
52,Mijas - Las Lagunas De Mijas,Málaga,Mijas,270.000,,29651,150,3,3 dormitorios,2002,Popular
53,Málaga - Trinidad - Miraflores - Carlinda; Trinidad,Málaga,Málaga,29009,,Dirección  Calle Carril; -1,Tipología  Piso,58,Dormitorios  2,2,1993
54,Fuengirola - Centro,Málaga,Fuengirola,159.000,,29640,76,3,3 dormitorios,1973,Popular
55,Mijas - Las Lagunas De Mijas,Málaga,Mijas,167.000,,29651,75,2,2 dormitorios,2000,Popular
56,Fuengirola - Centro,Málaga,Fuengirola,159.000,,29640,57,2,2 dormitorios,1970,Señorial
57,Málaga - Ciudad Jardín ; Mangas Verdes - Las Flores 87,Málaga,Málaga,59.900,,29014,50,2,2 dormitorios,1965,Popular
58,Málaga - Teatinos - Portada Alta - Carlos Haya; Carlos De Haya,Málaga,Málaga,268.000,,29010,140,4,4 dormitorios,1984,Señorial
59,Fuengirola - Puerto Deportivo,Málaga,Fuengirola,109.000,,29640,67,2,2 dormitorios,1974,Popular
60,Mijas - Las Lagunas De Mijas,Málaga,Mijas,159.000,,29651,132,2,2 dormitorios,1996,Señorial
61,Málaga - Centro ; La Victoria - Olletas,Málaga,Málaga,75.000,,29014,67,3,3 dormitorios,1962,Popular
62,Fuengirola - Centro,Málaga,Fuengirola,185.000,,29640,134,2,2 dormitorios,1987,Popular
63,Málaga - Centro ; La Victoria - Olletas,Málaga,Málaga,123.000,,29014,76,2,2 dormitorios,1945,Popular
64,Mijas - Las Lagunas De Mijas,Málaga,Mijas,129.000,,29651,74,2,2 dormitorios,2005,Popular
65,Mijas - Las Lagunas De Mijas,Málaga,Mijas,99.990,,29651,48,2,2 dormitorios,2007,Señorial
66,Mijas - Las Lagunas De Mijas,Málaga,Mijas,149.000,,29651,114,3,Dúplex,1991,Popular
67,Málaga - Centro ; El Molinillo - Capuchinos,Málaga,Málaga,59.900,,29014,50,2,2 dormitorios,1965,Cuota comunidad anual  300 €
68,Mijas - Las Lagunas De Mijas,Málaga,Mijas,109.000,,29651,75,3,3 dormitorios,1979,Popular
69,Antequera,Málaga,Antequera,88.000,,29000,87,3,3 dormitorios,1980,Media
70,Málaga - Trinidad - Miraflores - Carlinda; Eugenio Gross,Málaga,Málaga,149.000,,29007,85,3,3 dormitorios,1970,Media
71,Antequera,Málaga,Antequera,69.000,,29200,45,2,2 dormitorios,1965,Popular
